"","Symbol","Instrument","Average.return","Pattern.Start","Pattern.End","start_date","end_date"
"1","EQT","EQT Corporation","+16.20%","24 Mar","19 Apr","2024-03-24","04-19"
"2","MKC","McCormick & Company, Incorporated","+6.32%","24 Mar","08 Apr","2024-03-24","04-08"
"3","EXR","Extra Space Storage Inc","+5.62%","24 Mar","08 Apr","2024-03-24","04-08"
"4","PEAK","Healthpeak Properties, Inc. Com","+6.51%","24 Mar","08 Apr","2024-03-24","04-08"
"5","AMT","American Tower Corporation (REIT)","+6.00%","24 Mar","08 Apr","2024-03-24","04-08"
"6","PSA","Public Storage","+4.50%","24 Mar","08 Apr","2024-03-24","04-08"
"7","PM","Philip Morris International Inc","+6.80%","24 Mar","16 Apr","2024-03-24","04-16"
"8","CL","Colgate-Palmolive Company","+5.36%","24 Mar","16 Apr","2024-03-24","04-16"
"9","CCI","Crown Castle International Corp. (REIT)","+5.02%","24 Mar","08 Apr","2024-03-24","04-08"
"10","CAG","Conagra Brands, Inc","+6.88%","24 Mar","19 Apr","2024-03-24","04-19"
"11","DG","Dollar General Corporation","+6.38%","24 Mar","19 Apr","2024-03-24","04-19"
"12","PEG","Public Service Enterprise Group Incorpor","+6.01%","24 Mar","16 Apr","2024-03-24","04-16"
"13","KHC","The Kraft Heinz Company","+8.91%","24 Mar","16 Apr","2024-03-24","04-16"
"14","EQR","Equity Residential","+4.82%","24 Mar","08 Apr","2024-03-24","04-08"
"15","WMB","The Williams Companies, Inc","+8.38%","24 Mar","19 Apr","2024-03-24","04-19"
"16","MAA","Mid-America Apartment Communities, Inc","+4.69%","24 Mar","08 Apr","2024-03-24","04-08"
"17","MRO","Marathon Oil Corporation","+11.73%","24 Mar","22 Apr","2024-03-24","04-22"
"18","GIS","General Mills, Inc","+5.45%","24 Mar","19 Apr","2024-03-24","04-19"
"19","STZ","Constellation Brands, Inc","+7.44%","24 Mar","17 Apr","2024-03-24","04-17"
"20","CPT","Camden Property Trust","+4.64%","24 Mar","08 Apr","2024-03-24","04-08"
"21","PCG","PG&E Corporation","+8.11%","24 Mar","13 Apr","2024-03-24","04-13"
"22","DVN","Devon Energy Corporation","+11.29%","24 Mar","22 Apr","2024-03-24","04-22"
"23","BSX","Boston Scientific Corporation","+7.26%","24 Mar","19 Apr","2024-03-24","04-19"
"24","STE","STERIS plc","+6.68%","24 Mar","19 Apr","2024-03-24","04-19"
"25","UDR","UDR, Inc","+4.63%","24 Mar","08 Apr","2024-03-24","04-08"
"26","LMT","Lockheed Martin Corporation","+6.02%","24 Mar","17 Apr","2024-03-24","04-17"
"27","NEM","Newmont Mining Corporation","+6.60%","24 Mar","15 Apr","2024-03-24","04-15"
"28","PFE","Pfizer Inc","+3.53%","24 Mar","08 Apr","2024-03-24","04-08"
"29","CHD","Church & Dwight Co., Inc","+4.58%","24 Mar","16 Apr","2024-03-24","04-16"
"30","FCX","Freeport-McMoRan Inc","+8.57%","25 Mar","18 Apr","2024-03-25","04-18"
"31","ED","Consolidated Edison, Inc","+4.56%","25 Mar","16 Apr","2024-03-25","04-16"
"32","HES","Hess Corporation","+9.49%","25 Mar","22 Apr","2024-03-25","04-22"
"33","STX","Seagate Technology plc","+4.23%","25 Mar","10 Apr","2024-03-25","04-10"
